갈래,거래처,날짜,무엇,밖 장부,우리 앱,차이,비고
"미수","일산현대-농가식품","2026-08-31","마감시점미수","176200","(우리 앱에 없는 거래처)","",""
"미수","일성상회","2026-08-31","마감시점미수","2150000","-1268000","-3418000","C060"
"미수","일품(지안푸드)","2026-08-31","마감시점미수","102000","0","-102000","c-misu-1785823904191-1"
"미수","임흥섭","2026-08-31","마감시점미수","1100000","(우리 앱에 없는 거래처)","",""
"미수","제일큰마트(충주)","2026-08-31","마감시점미수","1035200","(우리 앱에 없는 거래처)","",""
"미수","주식회사 새봄푸드","2026-08-31","마감시점미수","2710000","(우리 앱에 없는 거래처)","",""
"미수","주식회사 선민유통","2026-08-31","마감시점미수","540000","(우리 앱에 없는 거래처)","",""
"미수","주식회사 엘생명","2026-08-31","마감시점미수","6644400","(우리 앱에 없는 거래처)","",""
"미수","주식회사대왕푸드","2026-08-31","마감시점미수","379000","(우리 앱에 없는 거래처)","",""
"미수","주식회사풍회유통","2026-08-31","마감시점미수","128240000","(우리 앱에 없는 거래처)","",""
"미수","지구식품","2026-08-31","마감시점미수","3577750","2040000","-1537750","C066"
"미수","진현","2026-08-31","마감시점미수","536400","44400","-492000","c-1776143123565"
"미수","진화상회","2026-08-31","마감시점미수","1280000","(우리 앱에 없는 거래처)","",""
"미수","짠지네식품","2026-08-31","마감시점미수","0","-2433400","-2433400","C068"
"미수","천지유통","2026-08-31","마감시점미수","0","-684400","-684400","C069"
"미수","태백식품","2026-08-31","마감시점미수","0","5159600","5159600","c-taebaek-food"
"미수","푸드원","2026-08-31","마감시점미수","982800","516000","-466800","C074"
"미수","푸미푸드","2026-08-31","마감시점미수","0","-2253475","-2253475","c-1775615990718"
"미수","한신기름","2026-08-31","마감시점미수","600000","(우리 앱에 없는 거래처)","",""
"미수","한울유통","2026-08-31","마감시점미수","7027600","0","-7027600","C076"
"미수","해까득","2026-08-31","마감시점미수","152000","(우리 앱에 없는 거래처)","",""
"미수","해달","2026-08-31","마감시점미수","1196000","0","-1196000","C079"
"미수","해피유통(더 해피)","2026-08-31","마감시점미수","9700000","(우리 앱에 없는 거래처)","",""
"미수","현대유통(원주)","2026-08-31","마감시점미수","2326000","-3068000","-5394000","C082"
"미수","황가네푸드","2026-08-31","마감시점미수","1098200","(우리 앱에 없는 거래처)","",""
